transferred_amount,transaction_mode,transaction_date_time,identity,merchant,label,amount_before_transaction,amount_after_transaction
2999.065111,card,15-03-2024 21:59,4.99339E+15,"Dua, Sarkar and Gara",legitimate,7934.636915,4935.571804
3459.320852,card,23-02-2024 04:11,5.02046E+11,Bajwa LLC,legitimate,5085.441883,1626.121031
2112.027786,card,23-02-2024 05:36,5.58937E+15,Mall Ltd,fraud,4295.353641,2183.325855
3401.30546,card,18-02-2024 10:37,3.57956E+15,"Tailor, Kala and Contractor",legitimate,5837.267256,2435.961795
4692.92063,Mobile,03-02-2024 00:38,4026069247,unknown,fraud,14011.0131,9318.092474
1459.270324,Branch,17-02-2024 03:18,4085415702,unknown,legitimate,5481.849754,4022.57943
3536.083051,card,08-03-2024 14:32,6.5176E+15,Bali-Loyal,legitimate,4515.984726,979.9016756
535.770962,card,14-01-2024 20:21,2.28667E+15,"Bhasin, Saini and Chakraborty",fraud,4006.405441,3470.634479
4736.293151,card,25-02-2024 23:42,3.55533E+15,Dalal LLC,legitimate,5870.484721,1134.19157
8935.980571,Branch,11-01-2024 13:14,9830732687,unknown,legitimate,11092.05311,2156.072544
5630.559725,Online,07-01-2024 12:07,8377538295,unknown,legitimate,10023.25946,4392.699731
1066.611852,card,26-02-2024 05:19,4.78396E+18,"Rana, Iyer and Varty",legitimate,4329.864033,3263.252181
1285.645105,Branch,10-03-2024 09:02,5047791536,unknown,fraud,4020.613127,2734.968022
2049.564474,Mobile,11-03-2024 17:12,1539653271,unknown,legitimate,4410.813194,2361.24872
4305.04561,card,14-03-2024 18:19,3.58621E+15,Gopal-Mani,fraud,9160.361477,4855.315866
2823.958638,card,14-01-2024 03:33,2.27741E+15,Sidhu-Walia,legitimate,4946.808018,2122.849379
4019.369843,card,17-01-2024 13:05,6.01158E+15,Rana-Chaudhary,fraud,4796.96446,777.5946179
3252.820969,card,28-02-2024 13:06,4.65098E+15,Hayre-Sengupta,legitimate,7886.449766,4633.628797
1294.82129,card,18-01-2024 02:24,4.34421E+18,Raju and Sons,legitimate,5655.280817,4360.459526
3251.736778,card,05-01-2024 21:32,1.80045E+14,Buch-Kothari,fraud,6851.979256,3600.242477
4015.460053,card,09-03-2024 03:40,5.54117E+15,Buch PLC,legitimate,4077.698233,62.23818085
810.7084452,card,07-02-2024 17:35,2.13141E+14,"Korpal, Sharaf and Shroff",legitimate,5397.413866,4586.705421
2252.255213,card,19-01-2024 04:49,3.04006E+13,Doctor-Ben,fraud,2721.684741,469.4295281
5827.075831,Online,08-03-2024 10:46,5472003001,unknown,legitimate,9598.889923,3771.814091
3729.742976,card,13-02-2024 05:26,6.30442E+11,Sinha-Kumar,fraud,8222.986192,4493.243215
9500.254174,Mobile,03-03-2024 20:17,3941643436,unknown,fraud,10229.98324,729.7290621
1543.009921,card,05-02-2024 03:10,4.19852E+12,Yadav and Sons,legitimate,5823.242363,4280.232442
3080.356171,Branch,07-01-2024 14:28,2486328513,unknown,legitimate,3713.591104,633.2349331
1270.364361,Online,04-03-2024 23:10,3816408773,unknown,legitimate,11169.79404,9899.429681
917.3065864,card,02-03-2024 09:15,3.53253E+15,Lata-Kanda,fraud,5651.834983,4734.528396
584.5794302,card,13-01-2024 20:33,2.13108E+14,Loke and Sons,legitimate,3621.141704,3036.562274
2143.057976,card,12-01-2024 02:33,1.80086E+14,"Warrior, Dada and Dasgupta",legitimate,5603.994161,3460.936185
1149.989159,card,01-03-2024 01:29,4.71783E+18,"Dalal, Khare and Kapadia",fraud,5754.347646,4604.358487
3613.754143,Mobile,23-02-2024 10:42,5493477012,unknown,legitimate,4024.233674,410.4795312
1392.575556,card,13-01-2024 23:35,4.83768E+15,"Kota, Kalla and Deep",legitimate,4364.478662,2971.903106
3966.343551,card,06-02-2024 15:02,1.80022E+14,Gokhale-Trivedi,fraud,8172.558775,4206.215224
784.6488272,card,09-03-2024 15:18,6.58227E+15,Dhingra-Gokhale,fraud,1551.650014,767.0011868
294.7030585,card,27-02-2024 23:13,3.01908E+13,Ahuja Inc,fraud,1889.024504,1594.321445
2130.882441,Branch,05-03-2024 20:28,6685692983,unknown,fraud,8386.94563,6256.063189
1991.945813,card,28-01-2024 23:24,3.74925E+14,Dalal PLC,fraud,5262.578575,3270.632762
3430.364977,card,18-02-2024 11:50,4.89597E+15,Apte-Dutta,legitimate,4128.600696,698.2357189
7335.616423,Mobile,07-02-2024 05:24,3774761993,unknown,legitimate,15346.44328,8010.826853
4587.559464,Mobile,04-01-2024 19:02,6325686588,unknown,fraud,14093.2441,9505.684637
6684.054291,Online,08-03-2024 16:57,9342142952,unknown,legitimate,8846.826103,2162.771812
1716.987926,card,11-02-2024 09:11,4.81952E+15,Devan-Master,fraud,2915.534597,1198.546671
3119.630398,card,25-01-2024 17:27,3.57529E+15,"Sama, Thaker and Ben",legitimate,8031.00678,4911.376382
6097.21457,Online,05-02-2024 01:15,9256269497,unknown,legitimate,11537.06982,5439.855248
1861.158826,card,26-01-2024 14:37,3.01508E+13,"Varty, Sharma and Ramanathan",legitimate,6569.748009,4708.589184
9327.970997,Online,09-03-2024 11:32,5616165434,unknown,fraud,17114.36388,7786.392888
2560.358169,card,23-01-2024 17:00,3.44317E+14,"Chadha, Lad and Dara",legitimate,6750.166743,4189.808574
2143.429682,card,14-03-2024 01:06,5.02036E+11,Dugar-Sodhi,fraud,4234.202812,2090.77313
6114.694034,Mobile,07-01-2024 02:31,8427083459,unknown,fraud,13428.25304,7313.559005
8239.580879,Branch,01-03-2024 08:14,8976336963,unknown,legitimate,8864.536013,624.9551332
2942.053497,card,10-02-2024 12:42,4.37246E+12,Luthra LLC,legitimate,6382.256009,3440.202512
3257.878072,card,03-02-2024 18:11,3.56498E+15,Sandal-Halder,fraud,7105.027609,3847.149537
5106.397763,Branch,24-01-2024 13:45,6750821700,unknown,legitimate,5523.836526,417.4387627
1084.469788,Branch,14-03-2024 16:31,9857547600,unknown,fraud,4284.765103,3200.295314
3457.779313,card,16-02-2024 21:06,4.14544E+15,Edwin-Balakrishnan,fraud,4356.660972,898.881659
2194.206956,card,14-03-2024 16:31,2.13101E+14,Varghese Group,legitimate,2437.572132,243.3651756
1802.451647,card,13-02-2024 05:11,3.54623E+15,"Roy, Sachar and Saraf",legitimate,6799.870341,4997.418693
7910.953083,Online,09-01-2024 13:38,2723597779,unknown,legitimate,10003.33169,2092.378609
2850.831872,card,26-01-2024 23:21,6.39021E+11,Handa-Shanker,legitimate,4226.017369,1375.185496
2527.235149,card,07-01-2024 17:50,3.53216E+15,Sheth-Ahuja,legitimate,4270.486913,1743.251764
4362.240451,Branch,04-02-2024 02:28,788793152,unknown,legitimate,10957.74084,6595.50039
985.3354218,card,12-01-2024 15:54,1.80006E+14,Bajaj-Kakar,legitimate,1270.539531,285.2041095
302.1691369,card,09-02-2024 14:07,3.04727E+13,Kaur-Samra,fraud,4533.653635,4231.484498
8579.718515,Online,09-01-2024 18:13,2811037938,unknown,legitimate,14467.0256,5887.30708
460.5459526,card,17-02-2024 19:36,4.82576E+12,Soman Ltd,fraud,989.592039,529.0460865
5583.157416,Branch,07-02-2024 17:47,8641105224,unknown,fraud,12951.23843,7368.081013
6392.888687,Mobile,30-01-2024 13:04,45535979,unknown,legitimate,14283.47694,7890.588248
5349.991119,Branch,29-01-2024 00:35,7718538530,unknown,fraud,11391.79237,6041.801249
2007.646043,card,06-03-2024 02:10,3.59527E+15,"Sami, Borah and Bala",legitimate,6242.399924,4234.753881
4742.641526,card,23-02-2024 16:18,4.84285E+12,Grover-Seshadri,legitimate,7461.879129,2719.237603
1256.223454,card,05-02-2024 04:48,2.13123E+14,"Sunder, Basak and Walia",legitimate,3084.227084,1828.00363
2412.796534,card,06-03-2024 03:52,5.28266E+15,Jani-Keer,fraud,4075.975253,1663.178719
2396.276252,Online,26-01-2024 19:52,5584816734,unknown,fraud,6863.326276,4467.050025
4981.706241,card,21-01-2024 05:34,3.0094E+13,"Bose, Mammen and Gour",fraud,9664.623629,4682.917388
908.9916522,card,17-02-2024 12:41,4.85363E+15,Devan Group,legitimate,5506.070342,4597.07869
3103.516882,Online,24-02-2024 03:36,6266873621,unknown,legitimate,12649.40985,9545.89297
2714.213648,Branch,24-02-2024 22:31,9897112596,unknown,legitimate,10556.90479,7842.691145
4339.176188,Online,08-02-2024 16:30,8939991494,unknown,fraud,8149.210258,3810.03407
1457.327204,card,14-01-2024 07:06,3.57361E+15,Dhaliwal PLC,legitimate,3209.24907,1751.921866
1347.306362,card,15-01-2024 21:36,4.26703E+15,Basu-Krishna,legitimate,2358.669133,1011.362771
2079.949317,card,03-02-2024 09:04,3.46582E+14,"Gaba, Garde and Chad",fraud,2288.383504,208.4341874
9103.352086,Online,30-01-2024 08:46,9159152068,unknown,legitimate,16609.99025,7506.638164
2257.350972,card,02-01-2024 04:58,2.13127E+14,Dhaliwal-Ray,fraud,5637.536714,3380.185742
1716.926479,card,03-02-2024 01:11,3.50682E+15,Rajagopalan-Cherian,legitimate,4132.180794,2415.254316
3003.755247,Mobile,06-01-2024 01:52,7610450723,unknown,legitimate,8514.327579,5510.572333
260.712619,card,11-01-2024 15:57,4.96845E+12,Ghose PLC,legitimate,1304.208852,1043.496233
1211.056632,card,28-01-2024 08:55,4.39951E+15,Vasa-Saini,fraud,2604.898112,1393.84148
3253.320015,card,27-01-2024 21:14,2.13131E+14,Hora Ltd,fraud,5904.219314,2650.8993
5957.801907,Online,03-03-2024 03:39,9863301037,unknown,legitimate,12468.12871,6510.326798
1741.167948,Mobile,08-02-2024 22:23,2840801564,unknown,fraud,11073.3449,9332.176948
3917.968545,card,16-02-2024 05:48,2.72027E+15,Ben and Sons,legitimate,4396.353197,478.384652
872.0590182,card,10-03-2024 23:29,4.41173E+15,Bera-Ramachandran,legitimate,4073.972319,3201.9133
433.9817865,card,13-01-2024 10:39,4.71944E+12,Amble PLC,legitimate,2431.550522,1997.568736
8950.498129,Mobile,19-02-2024 20:09,7845028066,unknown,fraud,12768.82798,3818.329853
2875.31405,Branch,15-02-2024 14:12,4021411467,unknown,legitimate,4545.018136,1669.704086
4475.135114,card,13-02-2024 01:43,4.58536E+12,Vala-Dhillon,fraud,9200.36598,4725.230866
2185.874401,card,17-02-2024 17:34,4.75865E+18,Butala-Mander,legitimate,6938.578996,4752.704595
9709.6978,Online,27-02-2024 20:22,3075424120,unknown,legitimate,12033.62169,2323.923887
1318.697581,card,12-03-2024 13:24,3.56997E+15,"Bath, Ratta and Barman",fraud,1488.563542,169.8659612
728.9531422,card,22-02-2024 12:00,4.33082E+15,Guha Group,legitimate,5713.112072,4984.15893
4266.517183,card,03-03-2024 04:35,5.01842E+11,"Sani, Dhar and Ram",fraud,7668.070349,3401.553167
9423.084545,Mobile,06-01-2024 05:06,1587493308,unknown,legitimate,11525.62864,2102.544093
2871.34558,Mobile,05-03-2024 15:54,8860247776,unknown,fraud,7825.814946,4954.469366
4705.535562,Mobile,05-02-2024 08:12,6244938846,unknown,fraud,9184.547155,4479.011593
397.8958385,card,22-02-2024 08:41,4.07305E+15,Chaudhry Inc,fraud,1357.753458,959.8576195
6363.8476,Branch,14-02-2024 15:41,1500081377,unknown,legitimate,7446.213671,1082.366071
1148.15575,Online,03-01-2024 01:43,5841522699,unknown,legitimate,2063.343165,915.1874147
4667.731504,card,12-02-2024 00:19,4.78009E+12,"Dubey, Dewan and Gokhale",legitimate,8610.026382,3942.294879
189.7339033,card,04-01-2024 02:14,3.51029E+15,Kapur-Bhattacharyya,legitimate,3235.22758,3045.493676
5985.315718,Branch,06-02-2024 08:05,7075154990,unknown,fraud,10800.94425,4815.628528
1300.971094,card,15-02-2024 04:15,4.59353E+15,Balan-Reddy,legitimate,3836.62591,2535.654815
3132.947563,card,07-03-2024 04:25,6.01106E+15,"Sant, Sundaram and Devan",legitimate,7270.302522,4137.354959
4046.763975,Branch,10-02-2024 07:28,5514227658,unknown,fraud,7421.634423,3374.870448
767.1971356,card,31-01-2024 11:47,4.07635E+15,"Hari, Rege and Chander",legitimate,1439.852743,672.6556078
2099.778662,card,07-01-2024 19:39,2.32155E+15,Arora and Sons,fraud,2172.751774,72.97311182
432.9831106,card,19-02-2024 18:15,4.13021E+12,"Tella, Kalla and Raju",legitimate,2434.895128,2001.912017
3971.152339,card,12-01-2024 13:34,3.05102E+13,Kibe-Bal,legitimate,5292.013522,1320.861183
1864.979082,card,24-01-2024 10:57,3.51377E+15,"Devi, Kala and Tank",fraud,4984.613564,3119.634483
2431.425465,card,24-01-2024 22:23,4.02181E+18,Lala-Saran,legitimate,6792.667411,4361.241946
4829.524977,card,06-03-2024 23:41,3.5003E+15,Kumer PLC,legitimate,8302.520456,3472.995478
4376.293412,card,15-01-2024 14:38,1.80086E+14,Kala-Bawa,legitimate,4424.5707,48.27728846
4476.859643,Online,24-01-2024 19:26,4099403334,unknown,legitimate,12091.23732,7614.377676
4369.886893,Branch,19-01-2024 12:41,5564519687,unknown,legitimate,8833.468327,4463.581434
797.8702619,Mobile,21-01-2024 22:59,2389273681,unknown,legitimate,8381.550977,7583.680715
3322.310534,card,31-01-2024 09:58,2.64852E+15,Kibe-Barman,fraud,5780.324093,2458.013559
4020.107679,Mobile,10-02-2024 23:37,5932184238,unknown,fraud,4424.781944,404.6742648
4781.896489,card,02-02-2024 03:00,4.07014E+18,Kale Ltd,legitimate,7812.770673,3030.874184
2955.571763,card,01-02-2024 02:16,3.57467E+15,Sarma LLC,fraud,5320.527677,2364.955913
2143.57059,Branch,16-02-2024 00:41,5032933024,unknown,fraud,11892.88686,9749.316267
3716.978653,card,02-03-2024 21:48,2.13189E+14,"Dass, Dar and Chowdhury",legitimate,8233.709684,4516.731031
1355.453744,card,02-02-2024 01:06,3.01612E+13,"Rajan, Srinivasan and Badal",legitimate,5725.834193,4370.380449
5760.285233,Mobile,15-03-2024 04:53,9636608276,unknown,legitimate,6129.308192,369.0229593
1893.714463,Branch,14-03-2024 10:43,7868452593,unknown,legitimate,11325.4812,9431.766735
8628.038656,Mobile,15-03-2024 10:18,5450503929,unknown,legitimate,9046.447159,418.4085023
9775.348289,Mobile,24-02-2024 06:25,3346633362,unknown,legitimate,12761.96769,2986.619396
4136.70624,Online,25-02-2024 23:13,8669439158,unknown,legitimate,13431.86604,9295.159798
2490.856217,Online,12-02-2024 11:50,9181582202,unknown,legitimate,12122.13416,9631.27794
2937.176231,card,13-01-2024 23:36,3.4284E+14,Mammen-Doshi,fraud,4161.257584,1224.081353
8306.263194,Branch,17-01-2024 01:58,7133786476,unknown,fraud,9609.615725,1303.352531
2059.836162,card,02-03-2024 08:04,4.23279E+18,Bakshi-Das,legitimate,5425.51111,3365.674948
5417.354764,Branch,08-02-2024 07:54,7159092170,unknown,fraud,10058.06856,4640.713799
1735.023008,card,07-03-2024 08:58,3.55947E+15,"Dutt, Baral and Krish",fraud,6629.94265,4894.919643
3471.981249,Online,16-01-2024 14:17,7303021747,unknown,legitimate,12833.88209,9361.900841
852.6037322,card,02-02-2024 20:27,4.72296E+15,"Sarraf, Saha and Sharma",legitimate,5464.629741,4612.026009
4791.820079,Online,11-02-2024 06:51,6281959639,unknown,legitimate,5604.089036,812.2689565
7335.127553,Branch,14-01-2024 15:31,1119500896,unknown,fraud,10361.55889,3026.431337
1259.909904,card,28-02-2024 00:13,4.02318E+15,"Goyal, Bera and Soman",legitimate,1633.345222,373.4353177
1262.496902,card,26-02-2024 20:52,3.54005E+15,"Salvi, Krishnan and Sarin",legitimate,2993.722233,1731.22533
4036.362548,Online,14-02-2024 20:34,7505304685,unknown,legitimate,13305.17462,9268.812069
2890.622356,card,20-02-2024 11:10,4.7256E+15,"Soman, Loke and Gara",fraud,6497.175925,3606.553569
1112.055387,card,05-02-2024 09:39,4.75004E+18,Khatri-Basak,legitimate,3929.436834,2817.381447
6870.277873,Branch,08-01-2024 02:14,9880709469,unknown,legitimate,14574.21033,7703.93246
196.3674619,card,03-02-2024 12:56,4.60131E+12,Aggarwal Inc,fraud,2493.019203,2296.651741
2380.790741,card,05-02-2024 04:06,6.01193E+15,"Kar, Shukla and Ram",legitimate,5380.992645,3000.201904
4298.031506,card,22-01-2024 04:06,3.01722E+13,Khanna-Kulkarni,legitimate,8554.705829,4256.674323
1922.244676,card,27-02-2024 11:17,3.53815E+15,Mane-Kibe,legitimate,3272.933155,1350.688479
4814.423682,card,27-02-2024 04:32,4.84571E+15,Chander-Thakkar,fraud,8308.230325,3493.806644
4553.922529,card,12-03-2024 16:30,2.13105E+14,Chander-Rastogi,legitimate,6217.152215,1663.229686
552.8461347,Branch,09-03-2024 03:46,5067963529,unknown,fraud,7453.535856,6900.689721
909.4144163,Branch,11-02-2024 15:43,877090294,unknown,fraud,5768.048528,4858.634112
141.4556919,Mobile,11-01-2024 07:23,2113886032,unknown,legitimate,7324.47955,7183.023858
1313.200538,card,07-02-2024 17:54,6.76214E+11,Sami-Ghosh,legitimate,6077.387475,4764.186937
4194.136105,Branch,08-02-2024 02:28,9365149844,unknown,fraud,5777.533634,1583.397528
9631.406668,Mobile,02-03-2024 03:19,1362045638,unknown,legitimate,12807.02488,3175.618209
4950.368712,card,03-03-2024 13:57,4.98484E+18,Bir-Toor,fraud,5292.96118,342.5924677
7536.653656,Mobile,19-02-2024 11:33,1159500124,unknown,legitimate,15894.35833,8357.704674
382.007712,card,15-01-2024 05:58,2.36879E+15,"Sunder, Dalal and Chad",fraud,1406.504507,1024.496795
678.73599,card,09-01-2024 16:41,4.97146E+15,"Brar, Dutta and Rajagopalan",fraud,5531.741848,4853.005858
4555.526651,card,25-02-2024 07:23,4.64975E+15,Bhardwaj PLC,fraud,5254.300917,698.7742668
2412.316875,Mobile,08-01-2024 13:00,6869689565,unknown,legitimate,8257.605558,5845.288684
7248.454036,Mobile,05-03-2024 09:47,4119206230,unknown,legitimate,7587.740522,339.2864861
848.4899021,Branch,07-02-2024 10:33,387415213,unknown,legitimate,2484.571714,1636.081811
4074.197728,card,04-03-2024 23:08,4.14414E+15,Devan-Manda,fraud,4571.526501,497.3287733
1636.878435,Online,21-02-2024 15:48,1892992414,unknown,fraud,8376.838869,6739.960434
814.4818718,card,07-01-2024 18:06,6.75958E+11,Vohra-Sur,legitimate,2617.564517,1803.082645
3761.217492,card,11-02-2024 01:05,3.54446E+15,Bora-Gokhale,legitimate,5443.631674,1682.414182
900.9378637,card,16-03-2024 21:56,6.52387E+15,Wadhwa-Sahni,fraud,5762.682848,4861.744985
3435.268339,Mobile,08-02-2024 00:01,3666878133,unknown,fraud,4887.841415,1452.573077
1720.193834,Branch,19-01-2024 21:23,6393968707,unknown,fraud,6962.679708,5242.485874
2468.164289,card,01-01-2024 23:30,5.29086E+15,"Salvi, Ghosh and Virk",fraud,6198.752842,3730.588553
1925.617195,card,05-01-2024 15:57,3.74047E+14,Ben LLC,fraud,3203.970775,1278.35358
211.350626,card,14-01-2024 03:27,6.5492E+15,"Bala, Bali and Lall",legitimate,3635.20318,3423.852554
2043.845201,card,23-02-2024 03:46,4.64734E+15,Biswas-Kumer,fraud,2955.17481,911.329609
7154.951198,Branch,09-03-2024 12:59,2770047119,unknown,legitimate,11440.26309,4285.311893
2626.707444,card,09-01-2024 04:10,3.50324E+15,"Sathe, Ghosh and Krishnamurthy",fraud,5934.573763,3307.866319
6647.56905,Mobile,06-02-2024 09:41,9896521465,unknown,fraud,14069.4753,7421.906248
463.1637086,Mobile,20-01-2024 12:15,8242945880,unknown,fraud,8166.034611,7702.870902
2566.180214,card,10-01-2024 08:29,4.47808E+15,Grewal Ltd,legitimate,5115.296046,2549.115832
1037.147638,card,23-02-2024 15:53,4.21148E+12,"Date, Bora and Chandran",fraud,5463.60141,4426.453772
795.2842009,card,14-03-2024 13:10,6.39032E+11,Samra-Raju,legitimate,4674.918139,3879.633938
3866.319771,card,03-02-2024 15:51,3.54573E+15,"Mannan, Tella and Karnik",legitimate,7049.446385,3183.126615
2725.18875,card,04-01-2024 14:23,4.76943E+18,Hari-Roy,legitimate,6303.996184,3578.807435
4247.624818,card,01-02-2024 08:04,4.92561E+18,Majumdar PLC,fraud,6434.306552,2186.681733
179.3904331,card,17-01-2024 06:10,5.85419E+11,Gera LLC,fraud,939.7062459,760.3158128
564.9630711,Online,04-01-2024 20:31,3086284881,unknown,fraud,3275.350111,2710.38704
7671.617029,Online,22-01-2024 07:55,9124161602,unknown,fraud,14609.23038,6937.613353
1471.181963,card,17-01-2024 11:41,60472030620,"Kala, Ray and Dey",fraud,4265.563614,2794.381651
1777.978192,Branch,10-01-2024 11:31,2120918642,unknown,fraud,4212.755106,2434.776914
769.6187874,card,30-01-2024 17:59,6.76377E+11,Boase-Hora,legitimate,1366.485874,596.8670868
6385.575926,Mobile,25-02-2024 07:22,3666166817,unknown,legitimate,15416.58608,9031.010159
2896.923673,card,09-02-2024 21:13,3.46991E+14,Chopra-Rege,legitimate,6853.11875,3956.195078
1198.881178,Online,24-01-2024 23:51,725004667,unknown,legitimate,8267.907794,7069.026616
3008.550908,card,06-03-2024 11:53,4.71407E+18,"Bains, Bir and Handa",legitimate,3879.350594,870.7996855
7913.999198,Branch,02-02-2024 15:25,4223925975,unknown,legitimate,13607.49891,5693.499715
6878.838608,Online,01-01-2024 02:59,8774037193,unknown,fraud,15659.57967,8780.741066
3486.718455,card,06-02-2024 22:09,3.54013E+15,"Lall, Shan and Sengupta",fraud,8102.492644,4615.774189
148.9268458,card,23-02-2024 14:43,60484031152,"Ray, Mani and Bora",legitimate,4752.032118,4603.105272
4592.947896,card,11-01-2024 11:03,4.55734E+12,Andra-Chakraborty,legitimate,8988.90292,4395.955024
6045.8839,Mobile,29-02-2024 02:57,8067843477,unknown,fraud,13351.44211,7305.55821
172.1081175,card,20-02-2024 20:53,3.59939E+15,Konda and Sons,legitimate,2347.66508,2175.556962
780.2654095,Branch,04-03-2024 20:44,1457150278,unknown,legitimate,2609.880471,1829.615061
5972.893544,Branch,26-02-2024 23:28,4418034799,unknown,fraud,13755.51311,7782.619567
1454.303213,card,08-03-2024 00:40,3.50179E+15,Savant-Grewal,legitimate,4297.731902,2843.428689
1473.833573,card,05-02-2024 15:41,3.52948E+15,Ratti-Halder,legitimate,4847.932095,3374.098522
8087.663919,Mobile,08-01-2024 06:09,2356828223,unknown,fraud,15570.47324,7482.809319
4921.912996,Branch,29-01-2024 14:55,8159721921,unknown,fraud,10783.58945,5861.676457
2250.703452,card,16-01-2024 16:23,3.04133E+13,Mallick-Brahmbhatt,legitimate,4894.644571,2643.941119
1768.880424,card,01-03-2024 17:48,4.34065E+18,"Sundaram, Ramaswamy and Vyas",legitimate,5107.058377,3338.177952
2566.840175,card,05-01-2024 00:27,6.53241E+15,Singhal Group,legitimate,3001.130975,434.2907996
4259.391186,card,23-02-2024 08:05,3.70929E+14,Kulkarni-Cheema,legitimate,5644.598343,1385.207157
2920.241729,Online,20-01-2024 15:25,9048444792,unknown,fraud,12647.8389,9727.597167
3682.816648,card,15-02-2024 22:14,1.80001E+14,Hayre Inc,legitimate,8145.694172,4462.877524
494.1332505,Mobile,10-03-2024 00:18,1322734410,unknown,legitimate,8422.786581,7928.653331
4170.785711,Mobile,05-01-2024 21:14,7057390101,unknown,legitimate,13526.41248,9355.626766
5807.513108,Branch,10-03-2024 12:56,9818697588,unknown,fraud,15061.38652,9253.873408
4337.089233,card,12-01-2024 06:43,3.03654E+13,Dixit Group,legitimate,6223.761931,1886.672697
8484.991657,Mobile,21-01-2024 13:57,4222630341,unknown,legitimate,12166.80849,3681.816831
