amount_transferred,mode_of_transaction,date_and_time,account_number,place_of_transaction,label,amount_before_transaction,amount_after_transaction
5598.773885,Online,21-01-2024 18:43,424388401,Kirari Suleman Nagar,fraud,6638.362192,1039.588307
3750.200992,Mobile,28-01-2024 14:36,7944316437,Ludhiana,legitimate,7711.359993,3961.159001
9093.502064,Branch,20-02-2024 04:27,7783293686,Phagwara,legitimate,13218.90001,4125.397945
6650.50587,Online,25-02-2024 18:41,9600977867,Faridabad,legitimate,12462.48224,5811.976374
8674.405299,Online,27-02-2024 03:04,226857520,Guna,legitimate,10280.93386,1606.528559
9288.028039,Mobile,05-01-2024 16:17,4305029214,Pimpri-Chinchwad,fraud,11136.79403,1848.765996
8188.041682,Branch,02-03-2024 18:25,6624943966,Kanpur,legitimate,11113.1194,2925.077721
6403.029853,Online,02-01-2024 02:29,4868724210,Kozhikode,fraud,15966.14328,9563.113428
9512.071633,Online,24-02-2024 15:41,3803171362,Katni,fraud,16879.74659,7367.674954
7846.015541,Branch,28-01-2024 14:24,4532787686,Indore,legitimate,14496.77923,6650.763687
8274.53842,Online,21-01-2024 14:14,1184185597,Siwan,legitimate,16462.41953,8187.881105
6188.571544,Branch,10-03-2024 00:10,4656102834,Hajipur,fraud,7551.578587,1363.007042
6456.113297,Online,13-01-2024 09:03,2154158272,Hajipur,fraud,15063.50821,8607.394915
7370.220197,Online,31-01-2024 00:12,7701643927,Rajahmundry,legitimate,13359.06406,5988.843867
5272.850793,Mobile,09-03-2024 20:31,4207121442,Kulti,legitimate,8692.607967,3419.757174
2420.81344,Online,23-02-2024 11:07,5730684156,Bhalswa Jahangir Pur,legitimate,10597.78047,8176.967032
7575.858831,Online,20-01-2024 03:40,9245020505,Madhyamgram,fraud,15621.24772,8045.38889
1195.254196,Mobile,14-01-2024 14:42,6190704536,Chennai,fraud,9667.769155,8472.514959
3419.262596,Online,27-01-2024 18:01,5810962841,Giridih,legitimate,4662.889807,1243.627211
2398.905682,Mobile,06-02-2024 02:46,4383320447,Bareilly,fraud,12095.58201,9696.676325
7616.995818,Branch,15-01-2024 02:51,6918835068,Nellore,legitimate,17217.29474,9600.298923
9263.128278,Online,14-01-2024 15:32,3144456938,Mangalore,fraud,12902.07777,3638.94949
191.050811,Branch,12-03-2024 18:09,9232539835,Karnal,fraud,943.4015913,752.3507803
6797.482519,Mobile,16-03-2024 15:13,1082001465,Haldia,fraud,8551.333647,1753.851128
5228.279857,Mobile,25-01-2024 18:40,3562327393,Thoothukudi,legitimate,15157.30503,9929.025172
8640.140664,Online,04-02-2024 04:19,6104567850,Buxar,legitimate,14313.9688,5673.828137
8079.326243,Online,07-03-2024 21:35,1635321723,Morbi,fraud,11709.88205,3630.555808
4155.326059,Mobile,08-01-2024 23:01,5651340785,Suryapet,legitimate,7108.532729,2953.206669
843.8640392,Mobile,03-03-2024 07:01,1893316184,Visakhapatnam,fraud,3488.082219,2644.21818
8236.126371,Mobile,11-02-2024 17:31,5072351888,Bokaro,legitimate,14911.23875,6675.112374
267.7818824,Online,16-01-2024 06:13,9041249537,Bhind,legitimate,4519.721414,4251.939532
6074.141074,Online,15-01-2024 11:30,9637199351,Guntur,fraud,15731.707,9657.565924
5612.170618,Mobile,03-02-2024 16:24,9255364278,Bidhannagar,legitimate,12482.21662,6870.046003
8882.1556,Mobile,06-01-2024 14:37,8932655192,Gwalior,fraud,16823.39705,7941.241451
485.6826788,Online,08-01-2024 08:44,5220645017,Parbhani,legitimate,3483.82401,2998.141331
4557.517037,Online,19-02-2024 01:31,5766881121,Bihar Sharif,legitimate,5441.462487,883.9454502
4850.768641,Branch,27-01-2024 13:08,7525574307,Ahmedabad,fraud,9780.214731,4929.44609
6714.042852,Online,18-02-2024 14:52,3665140124,Ambattur,fraud,9928.400163,3214.357311
7910.431471,Branch,16-01-2024 00:15,2941555365,Guna,legitimate,10011.0548,2100.623334
8177.874696,Mobile,08-02-2024 11:53,1784757507,Farrukhabad,fraud,17709.03179,9531.157095
664.0893973,Branch,07-02-2024 18:55,3864697063,Kottayam,legitimate,5159.572719,4495.483322
780.2654095,Branch,04-03-2024 20:44,1457150278,Nanded,legitimate,2609.880471,1829.615061
7288.304204,Online,18-01-2024 02:22,4603090817,Vasai-Virar,fraud,9354.945665,2066.641462
2882.392527,Branch,14-01-2024 01:35,648628653,Pune,legitimate,5761.418977,2879.02645
5291.463666,Branch,10-03-2024 19:03,9663854271,Sambalpur,fraud,15284.69472,9993.231055
7066.627818,Online,19-01-2024 19:20,8917989297,Miryalaguda,legitimate,9819.941673,2753.313855
2342.564098,Mobile,08-01-2024 13:57,1501210940,Guna,legitimate,5697.701963,3355.137865
9580.553298,Online,11-03-2024 22:06,6328804613,Udupi,legitimate,16207.90177,6627.348467
8069.391097,Branch,07-02-2024 01:05,2078232669,Siwan,fraud,11079.60872,3010.217626
2093.501443,Mobile,20-01-2024 05:30,7265831364,Nellore,fraud,4329.963529,2236.462085
7333.440051,Mobile,12-03-2024 21:20,3643674573,Thane,fraud,9003.948199,1670.508148
5899.178255,Online,04-03-2024 11:49,4320315626,Panipat,fraud,9094.736638,3195.558384
7150.574291,Online,22-02-2024 00:11,625262413,Sambalpur,fraud,8299.139619,1148.565327
5870.967962,Online,08-03-2024 21:43,7260085530,Bihar Sharif,legitimate,6155.569168,284.6012055
3028.658565,Branch,24-02-2024 12:04,1557778416,Ozhukarai,legitimate,11094.61137,8065.952804
2324.108237,Branch,10-01-2024 02:37,7424324870,Durg,legitimate,3789.268167,1465.15993
8049.956389,Online,07-03-2024 21:29,9688576233,Pune,fraud,15832.1272,7782.170813
6956.071072,Branch,07-03-2024 10:57,9810371769,Panvel,legitimate,14951.74161,7995.670542
3610.759361,Branch,30-01-2024 20:51,1183771117,Korba,fraud,9036.162671,5425.403311
789.4473668,Branch,07-01-2024 16:07,6934164175,Srinagar,fraud,3955.298754,3165.851387
7533.623571,Online,09-03-2024 10:25,5319559842,Jhansi,fraud,9069.447635,1535.824064
8751.511768,Branch,26-02-2024 16:26,4481537232,Gandhidham,fraud,16145.88232,7394.370557
1900.067175,Branch,21-01-2024 03:31,756779434,Morena,fraud,7953.798337,6053.731161
1403.700344,Branch,29-02-2024 06:22,9886031844,Anantapuram,legitimate,7992.689563,6588.989219
3871.423266,Branch,24-01-2024 04:56,5509293232,Bijapur,legitimate,4057.247255,185.8239895
5953.626814,Mobile,13-03-2024 19:26,1987737484,Anantapur,fraud,15236.04527,9282.418456
8771.242527,Online,20-02-2024 00:15,5157268450,Srikakulam,legitimate,9527.515383,756.2728557
939.4409589,Branch,02-01-2024 20:55,322977326,Ranchi,fraud,4670.819222,3731.378263
8101.528579,Branch,04-03-2024 01:16,1660650825,Muzaffarpur,legitimate,12188.37391,4086.845332
544.6218601,Branch,01-01-2024 20:19,6121357441,Nangloi Jat,legitimate,658.0415526,113.4196925
1958.451816,Branch,28-02-2024 10:47,2032973150,Bhatpara,legitimate,6979.635979,5021.184163
9089.3836,Mobile,06-03-2024 22:13,1424269326,Ambala,legitimate,16642.19265,7552.809046
5188.495943,Branch,17-02-2024 18:01,507358199,Akola,fraud,13438.85561,8250.359666
9680.838506,Branch,16-02-2024 03:06,8139405349,Durgapur,legitimate,18486.86874,8806.030234
5565.26709,Mobile,20-01-2024 22:37,6502944703,Bhusawal,fraud,10493.68389,4928.416796
6198.255958,Mobile,03-02-2024 06:00,3172866089,Burhanpur,fraud,12541.55424,6343.298286
8159.844287,Online,11-01-2024 13:27,2276530951,Bahraich,legitimate,9047.089449,887.2451616
9653.652158,Branch,03-01-2024 21:51,6796070715,Ratlam,legitimate,14585.23058,4931.57842
1534.459234,Mobile,03-03-2024 17:40,1265797468,Bharatpur,fraud,3167.135207,1632.675973
6273.498311,Branch,11-02-2024 12:24,9325648226,Raurkela Industrial Township,fraud,10032.96518,3759.466864
3689.341986,Mobile,10-01-2024 04:24,7054037091,Guwahati,legitimate,7049.464583,3360.122597
6116.74601,Online,04-02-2024 03:20,9846749066,Solapur,legitimate,10409.79772,4293.051715
6624.54956,Branch,19-02-2024 06:43,7355850040,Shimoga,legitimate,12383.75208,5759.202518
2313.598801,Online,08-02-2024 11:34,8034046206,Tiruppur,fraud,11352.07761,9038.478806
9290.35377,Online,10-01-2024 04:47,1441219784,Ujjain,fraud,13295.75162,4005.39785
8309.939313,Branch,12-03-2024 20:25,2349227862,Etawah,legitimate,18123.13815,9813.198838
4476.859643,Online,24-01-2024 19:26,4099403334,Bhilai,legitimate,12091.23732,7614.377676
516.7225774,Mobile,04-03-2024 09:05,4568465772,Naihati,fraud,5680.384941,5163.662363
3665.350434,Branch,01-02-2024 19:00,5905897997,Ozhukarai,fraud,10141.21216,6475.861727
3981.726411,Branch,10-02-2024 18:04,1715074453,Bahraich,legitimate,5093.745706,1112.019294
5964.837068,Branch,21-01-2024 13:36,8421056675,Kakinada,fraud,14425.60023,8460.76316
4764.562199,Mobile,21-01-2024 11:15,1940932645,Warangal,fraud,10629.901,5865.338805
6175.01524,Online,26-02-2024 12:43,596849879,Saharsa,legitimate,16037.08329,9862.068054
8304.21894,Online,11-03-2024 11:00,5921521138,Medininagar,legitimate,14704.8635,6400.644563
7536.653656,Mobile,19-02-2024 11:33,1159500124,Kharagpur,legitimate,15894.35833,8357.704674
2960.788397,Online,02-03-2024 07:25,1485555728,Karaikudi,legitimate,10978.43955,8017.651154
9681.814345,Online,25-01-2024 02:16,6251733020,Visakhapatnam,fraud,13201.87974,3520.0654
9814.450016,Online,18-01-2024 20:51,3415549693,Buxar,legitimate,12484.59521,2670.14519
6670.344537,Branch,25-01-2024 17:57,2450905941,Indore,fraud,11032.23101,4361.886476
4988.759001,Online,04-03-2024 05:08,6784746181,Junagadh,legitimate,9714.44831,4725.68931
614.6945846,Branch,23-01-2024 17:28,6943280557,Bangalore,legitimate,3091.533134,2476.838549
5924.686988,Mobile,10-03-2024 07:35,746498706,Giridih,legitimate,14881.20593,8956.518946
9807.625448,Branch,15-02-2024 21:29,4291625374,Bhimavaram,legitimate,15278.84928,5471.223837
909.0809229,Mobile,20-02-2024 17:21,9371700175,Gandhidham,fraud,10695.68041,9786.599482
289.3767677,Mobile,09-03-2024 21:04,1712369011,Rampur,legitimate,8408.55277,8119.176003
1979.765758,Online,11-01-2024 21:41,2016054619,Akola,legitimate,7581.243876,5601.478118
4232.208345,Online,20-01-2024 16:32,6831760349,Kurnool,legitimate,13707.9071,9475.698754
9601.931102,Online,05-01-2024 19:33,9159889935,Moradabad,legitimate,14700.19177,5098.260669
4529.382432,Online,21-01-2024 05:40,4504547205,Khammam,fraud,13411.73691,8882.354474
1239.947166,Mobile,01-03-2024 05:47,3209147459,Bhiwani,legitimate,4885.5805,3645.633334
1071.01755,Online,12-03-2024 23:52,7186104682,Chinsurah,fraud,4919.577145,3848.559596
5918.916673,Branch,25-02-2024 16:07,6926345590,Tumkur,fraud,10158.41043,4239.493761
7375.765889,Mobile,22-02-2024 03:39,6066418947,Kolkata,legitimate,12887.35978,5511.593895
8417.069977,Mobile,27-01-2024 02:33,5078771058,Adoni,legitimate,13996.62365,5579.553675
2968.539384,Mobile,04-01-2024 16:09,6049969302,Nashik,fraud,7982.888708,5014.349325
3333.728569,Branch,06-01-2024 20:35,4783879786,Dhule,legitimate,6463.138208,3129.409638
5858.060701,Online,01-03-2024 16:02,4572767719,Dindigul,legitimate,15137.4047,9279.344001
5613.096587,Mobile,13-03-2024 05:30,4736554700,Hazaribagh,legitimate,11540.09895,5927.002364
6359.41645,Branch,18-02-2024 03:50,4207308828,Adoni,fraud,10496.03469,4136.61824
4867.07128,Online,12-02-2024 00:06,7081499717,Jamshedpur,fraud,11413.72319,6546.651911
463.1637086,Mobile,20-01-2024 12:15,8242945880,Amravati,fraud,8166.034611,7702.870902
6812.35991,Mobile,07-01-2024 17:58,6799611787,Haridwar,fraud,16423.56798,9611.208073
6033.09095,Mobile,14-02-2024 05:46,8717576320,Rewa,legitimate,11078.62766,5045.536706
6408.29462,Branch,06-03-2024 23:15,3020597269,Anand,fraud,7618.069873,1209.775252
4369.886893,Branch,19-01-2024 12:41,5564519687,Cuttack,legitimate,8833.468327,4463.581434
7865.614185,Online,01-01-2024 10:33,8205469724,Purnia,legitimate,12707.42274,4841.808558
2881.535577,Online,18-01-2024 23:43,69460466,Karawal Nagar,fraud,11861.77695,8980.241374
9375.882448,Branch,29-02-2024 14:45,7449674827,Gorakhpur,fraud,13384.41006,4008.527608
6818.832571,Branch,11-03-2024 03:52,9160655741,Purnia,legitimate,16356.74279,9537.910222
1450.077608,Branch,15-02-2024 15:33,6921802130,Noida,fraud,6352.883495,4902.805886
9251.522334,Online,25-01-2024 12:46,2675028944,Vijayanagaram,fraud,18991.94929,9740.42696
273.7683973,Branch,03-01-2024 15:54,1469723308,Baranagar,legitimate,454.9317765,181.1633792
9774.024424,Online,01-02-2024 18:56,1511004730,Thiruvananthapuram,fraud,18772.29663,8998.272211
4692.92063,Mobile,03-02-2024 00:38,4026069247,Faridabad,fraud,14011.0131,9318.092474
1074.116932,Online,02-03-2024 04:54,6224506782,Hubli–Dharwad,fraud,10688.2242,9614.107264
3706.271624,Mobile,06-01-2024 15:06,8843392289,Sikar,fraud,3935.729313,229.4576883
4923.927006,Branch,16-03-2024 19:50,9076152073,Ballia,legitimate,6723.765287,1799.838282
1514.135452,Online,02-01-2024 23:48,1653455486,Lucknow,legitimate,8086.404032,6572.268581
7097.094447,Online,24-02-2024 21:53,8932852147,Morena,fraud,7449.274095,352.1796482
9500.254174,Mobile,03-03-2024 20:17,3941643436,Chinsurah,fraud,10229.98324,729.7290621
6400.463072,Branch,15-03-2024 02:01,2254160147,Tadipatri,fraud,8689.143921,2288.68085
2496.018592,Mobile,01-01-2024 10:25,5721934256,Ahmednagar,legitimate,7669.172302,5173.153711
4011.795985,Mobile,15-02-2024 11:57,3654734915,Kamarhati,legitimate,9516.231322,5504.435337
2563.038709,Branch,06-01-2024 17:29,5587694571,Bokaro,legitimate,3002.223824,439.1851157
7400.59431,Mobile,07-03-2024 00:52,8304702171,Mysore,fraud,9187.230093,1786.635783
665.1598753,Online,19-01-2024 06:50,5483643392,Baranagar,fraud,5712.246041,5047.086166
4062.101531,Online,12-03-2024 18:10,3162171762,Rohtak,legitimate,10042.11368,5980.012147
7430.713706,Mobile,13-01-2024 13:40,7552855058,Bhavnagar,legitimate,8999.890502,1569.176795
4881.391834,Online,30-01-2024 15:31,1364591299,Tiruppur,fraud,8929.921812,4048.529978
8434.10489,Branch,01-03-2024 07:15,940541133,Bhind,fraud,17487.67911,9053.574222
5244.15559,Branch,07-03-2024 03:05,292340698,Chittoor,legitimate,15233.25853,9989.102942
4170.85514,Mobile,01-02-2024 15:29,4449540036,Nangloi Jat,legitimate,14044.27824,9873.423103
5278.668657,Mobile,09-01-2024 01:46,9788291791,Sirsa,fraud,14107.24631,8828.577652
2728.414434,Branch,22-02-2024 15:03,96913440,Bhusawal,legitimate,6735.549304,4007.134871
9688.038898,Branch,21-01-2024 01:14,7115616823,Bhusawal,fraud,16585.12439,6897.085492
6951.529106,Branch,12-02-2024 12:58,6206597658,Rourkela,legitimate,11175.79216,4224.263055
4463.551195,Branch,27-01-2024 19:26,7316698859,Bijapur,fraud,10983.96876,6520.417566
6387.427144,Branch,15-03-2024 01:35,6786405176,Kakinada,fraud,9550.808606,3163.381463
1756.48091,Mobile,18-02-2024 05:04,6097463654,Nashik,legitimate,7857.88322,6101.402311
2158.073926,Online,19-01-2024 23:03,9098274855,Kozhikode,fraud,7443.283042,5285.209116
8397.734252,Online,02-01-2024 00:23,2898100462,Phusro,legitimate,8740.088884,342.3546316
431.9711039,Online,13-02-2024 15:25,7958820640,Shimla,fraud,8359.929851,7927.958747
6140.068428,Mobile,25-02-2024 01:28,2782106643,Thanjavur,legitimate,6357.856967,217.7885392
1900.612836,Online,31-01-2024 00:45,2765837123,Ballia,fraud,4902.856664,3002.243828
9644.376323,Mobile,17-01-2024 13:13,1180652595,Maheshtala,legitimate,9803.024571,158.648248
2481.262693,Online,15-02-2024 05:33,1942893360,Ranchi,legitimate,6305.656685,3824.393992
1044.073121,Branch,28-02-2024 01:38,2413839567,Sagar,legitimate,1769.362349,725.2892288
6955.678984,Mobile,15-03-2024 12:58,4466444099,Miryalaguda,legitimate,16099.43756,9143.758572
2076.770443,Branch,24-02-2024 06:00,5299397390,Ratlam,fraud,6291.995465,4215.225022
7558.93643,Mobile,26-01-2024 02:30,7800515062,Mathura,legitimate,12207.9446,4649.008171
4365.786484,Mobile,01-03-2024 16:27,8452928975,Bongaigaon,fraud,7929.303822,3563.517337
4332.656082,Mobile,15-03-2024 01:36,5141813190,Bhagalpur,fraud,10644.96701,6312.310927
1684.709186,Branch,06-03-2024 04:01,2851027855,Amroha,fraud,9550.349541,7865.640355
3459.122146,Online,16-03-2024 05:54,2350222717,Bardhaman,legitimate,9975.774903,6516.652756
2653.622114,Branch,08-02-2024 01:33,9747329048,Raebareli,fraud,10160.87259,7507.250472
1271.52829,Mobile,26-01-2024 03:44,8150575241,Amroha,fraud,10340.66756,9069.139269
1491.474379,Online,27-01-2024 12:34,4015504221,Guwahati,legitimate,10140.58504,8649.110664
3755.879625,Branch,10-01-2024 10:15,960110144,Hosur,legitimate,10529.05831,6773.178682
6493.641624,Branch,20-01-2024 10:38,3696894485,Sambhal,legitimate,8718.557457,2224.915833
1131.825548,Mobile,22-02-2024 11:02,9896358152,Sasaram,legitimate,7545.083773,6413.258225
2732.691661,Branch,12-02-2024 07:10,2378306508,Bhiwandi,legitimate,7842.914309,5110.222648
9450.040969,Branch,15-02-2024 13:01,7345405389,Sultan Pur Majra,legitimate,16650.51136,7200.470387
3642.359433,Mobile,05-02-2024 00:22,4610818229,Hapur,legitimate,11988.38275,8346.023319
2072.27489,Online,03-02-2024 22:06,8556485687,Karimnagar,legitimate,9525.217712,7452.942822
9522.936676,Mobile,03-03-2024 13:31,4419311786,Moradabad,fraud,18003.89226,8480.955583
2651.060596,Branch,19-01-2024 20:57,4128828887,Shahjahanpur,fraud,3383.337692,732.2770961
5873.588962,Branch,18-01-2024 18:03,1486464056,Danapur,legitimate,6286.627341,413.0383786
6172.772753,Branch,21-01-2024 00:32,1442624936,Arrah,fraud,8831.928373,2659.15562
5173.776223,Online,27-01-2024 11:58,5983814735,Visakhapatnam,fraud,14190.37046,9016.594233
3524.186861,Mobile,04-02-2024 19:52,4466537967,Sasaram,legitimate,11778.41345,8254.226585
4816.726165,Mobile,15-02-2024 08:31,3890304265,Akola,legitimate,11675.72641,6859.000248
1070.276079,Online,18-01-2024 11:36,2653083953,Faridabad,legitimate,8107.786887,7037.510808
1482.547422,Branch,21-02-2024 20:05,5421597558,Bidhannagar,fraud,8776.585068,7294.037646
1893.714463,Branch,14-03-2024 10:43,7868452593,Bhalswa Jahangir Pur,legitimate,11325.4812,9431.766735
3544.619975,Branch,18-02-2024 21:12,5300229316,Tinsukia,fraud,11883.31238,8338.692408
9279.060413,Online,06-03-2024 10:04,8235409214,Aizawl,fraud,15550.62524,6271.564832
1100.353529,Online,07-02-2024 23:28,4547139862,Panchkula,fraud,7790.936338,6690.582809
988.6190555,Branch,24-02-2024 12:50,5186013921,Jaunpur,legitimate,3204.64765,2216.028594
3978.927857,Mobile,17-02-2024 08:13,1056950396,Solapur,legitimate,10586.38423,6607.456369
9943.869997,Mobile,01-02-2024 15:44,4857325421,Avadi,legitimate,14248.19222,4304.322223
334.0220019,Mobile,13-01-2024 07:32,6946525991,Amaravati,fraud,1948.344521,1614.322519
7275.191038,Mobile,06-01-2024 20:57,5177535318,Hapur,fraud,15358.57895,8083.387911
7390.797933,Branch,06-02-2024 03:29,6205787654,Jamalpur,fraud,12542.24422,5151.446288
7175.716452,Branch,15-03-2024 23:28,7261683686,Kochi,legitimate,16952.22436,9776.507913
7854.650031,Branch,08-02-2024 09:27,8250919394,Rewa,legitimate,10743.27564,2888.625609
909.4144163,Branch,11-02-2024 15:43,877090294,Tirunelveli,fraud,5768.048528,4858.634112
897.9549862,Online,29-01-2024 04:05,1054875159,Gudivada,fraud,5433.109987,4535.155001
5835.21322,Online,15-01-2024 17:29,9041863081,Ballia,legitimate,7130.930492,1295.717272
1623.609056,Mobile,08-01-2024 08:08,8933010356,Deoghar,legitimate,5942.150317,4318.54126
1915.704648,Mobile,20-02-2024 18:10,352744332,Maheshtala,fraud,4862.483866,2946.779219
3069.199204,Online,01-01-2024 12:51,9303476889,Dindigul,fraud,4756.37187,1687.172667
9401.039521,Online,30-01-2024 01:53,9604741559,Etawah,fraud,12294.3798,2893.340282
4068.429026,Online,20-02-2024 21:05,9959048713,Navi Mumbai,fraud,6477.620769,2409.191744
1143.392859,Online,27-02-2024 09:43,829163509,Dehradun,legitimate,8510.720816,7367.327957
4020.107679,Mobile,10-02-2024 23:37,5932184238,Katni,fraud,4424.781944,404.6742648
6057.886666,Online,24-01-2024 00:15,7279794031,Arrah,legitimate,12270.76787,6212.881204
1507.157526,Branch,16-02-2024 06:26,132720859,Jaunpur,legitimate,9137.704812,7630.547286
1276.297371,Branch,11-01-2024 06:44,6746181392,Khora ,fraud,6135.45959,4859.162219
1759.430241,Online,04-03-2024 22:49,4355491188,Dewas,fraud,11081.92354,9322.493302
3619.380803,Mobile,01-01-2024 15:00,9536988752,Karaikudi,fraud,10727.39969,7108.018883
5586.84249,Online,18-01-2024 16:46,9375193465,Warangal,fraud,13091.28664,7504.444148
3741.053014,Branch,11-01-2024 11:51,7162629661,Kamarhati,fraud,5790.69454,2049.641526
6794.157865,Mobile,15-01-2024 17:50,8502161519,Rajkot,fraud,14589.38407,7795.226201
5405.757281,Mobile,20-01-2024 09:52,2202184545,Saharanpur,legitimate,13743.49517,8337.737887
6737.299905,Online,13-01-2024 04:10,837372169,Ramagundam,legitimate,10413.83715,3676.537245
6531.365701,Mobile,02-02-2024 11:59,3734919365,Bathinda,fraud,8743.660074,2212.294374
3634.590505,Mobile,07-01-2024 19:53,1980046802,Shimoga,legitimate,7546.592229,3912.001724
9093.660557,Online,05-02-2024 07:19,4058709884,Karawal Nagar,fraud,16515.77945,7422.118893
5248.67341,Online,06-02-2024 22:31,4271161919,Bangalore,fraud,9483.299568,4234.626158
8332.031498,Online,30-01-2024 08:32,7552099406,Tadepalligudem,legitimate,15724.88506,7392.853565
9271.9916,Mobile,05-01-2024 00:25,1920009079,Jodhpur,legitimate,10496.28056,1224.288956
2424.068775,Online,14-02-2024 14:20,7516180214,Nanded,legitimate,10503.58471,8079.515934
2668.291991,Online,30-01-2024 13:45,5550698955,Ambattur,fraud,5275.046059,2606.754068
4947.476353,Branch,08-01-2024 05:35,6076220557,Moradabad,legitimate,7511.873331,2564.396978
1621.541324,Branch,13-03-2024 04:30,7874341169,Tirunelveli,legitimate,7566.31288,5944.771556
4567.269507,Mobile,16-03-2024 18:12,9540340063,Warangal,fraud,5361.43816,794.1686529
7858.164826,Mobile,15-03-2024 10:20,565749163,Tumkur,fraud,8218.51232,360.3474942
1175.95714,Online,10-02-2024 13:37,3588747131,Guntur,legitimate,3860.140926,2684.183786
8242.55758,Branch,09-01-2024 09:06,2808230528,Kamarhati,fraud,13669.42633,5426.868752
4936.106763,Branch,16-01-2024 00:19,575544463,Mangalore,legitimate,14021.50899,9085.402224
8365.809344,Mobile,10-03-2024 11:03,9874344885,Loni,fraud,16845.51759,8479.708245
1934.768777,Mobile,28-01-2024 07:23,3571148266,Panihati,legitimate,6890.188731,4955.419953
5185.707767,Mobile,05-01-2024 12:38,4663696846,Bhilwara,legitimate,5652.522504,466.8147376
716.5037482,Mobile,10-02-2024 10:13,3743274657,Bettiah,fraud,6115.505821,5399.002073
814.7642489,Branch,01-02-2024 13:56,1794500715,Dhanbad,fraud,7892.240688,7077.476439
4457.509688,Mobile,19-02-2024 05:14,3669577732,Aurangabad,fraud,7915.23856,3457.728872
1016.992282,Mobile,08-01-2024 20:35,471321866,Saharsa,legitimate,2216.518985,1199.526702
3220.870403,Online,18-01-2024 09:27,8248759166,Gandhidham,legitimate,6078.69314,2857.822737
6980.320673,Mobile,16-02-2024 11:35,4773688978,Tirunelveli,fraud,14719.05043,7738.729758
5039.067079,Online,16-01-2024 22:25,1266069459,Udaipur,legitimate,8616.381019,3577.31394
9361.296684,Mobile,26-02-2024 06:21,9596440765,Tiruppur,legitimate,17499.91344,8138.616758
7085.30004,Mobile,13-03-2024 19:46,6996639468,Bangalore,legitimate,10348.56241,3263.262373
3664.499612,Branch,13-02-2024 00:06,8703672210,Kurnool,legitimate,5383.694493,1719.19488
6629.15661,Online,06-01-2024 21:11,5466130207,Bikaner,legitimate,11044.05537,4414.898759
8595.952826,Branch,28-02-2024 15:03,6262356791,Karimnagar,fraud,13173.4705,4577.517672
7188.125066,Mobile,21-02-2024 19:30,4077894289,Coimbatore,fraud,7447.596429,259.4713636
3131.910846,Mobile,07-01-2024 18:52,7148159877,Chinsurah,fraud,4390.657066,1258.74622
6947.390953,Online,02-03-2024 22:05,8442396930,Meerut,legitimate,8878.158539,1930.767586
787.0014505,Mobile,08-02-2024 18:15,7716137410,Mahbubnagar,legitimate,2011.515893,1224.514442
8803.271245,Branch,27-02-2024 05:41,9058777312,Srikakulam,fraud,12284.37939,3481.108147
6575.914097,Mobile,31-01-2024 00:27,3818093252,Maheshtala,legitimate,16225.68037,9649.766271
6566.311626,Online,07-02-2024 11:59,3723698187,Saharanpur,fraud,11707.61476,5141.303129
6312.304086,Online,24-01-2024 14:07,586097068,Adoni,fraud,12625.10872,6312.804636
9761.066033,Mobile,07-02-2024 00:44,3026511688,Noida,fraud,13389.29217,3628.226137
4633.497045,Online,24-02-2024 02:00,8243648272,Dhule,legitimate,7936.025885,3302.52884
